date;category;variable;value
2020-03-15;response;C6_Stay at home requirements;1
2020-03-16;response;C1_School closing;3
2020-03-16;response;C4_Restrictions on gatherings;1
2020-03-16;response;C6_Stay at home requirements;1
2020-03-17;response;C1_School closing;3
2020-03-17;response;C4_Restrictions on gatherings;1
2020-03-17;response;C6_Stay at home requirements;1
2020-03-18;response;C1_School closing;3
2020-03-18;response;C4_Restrictions on gatherings;1
2020-03-18;response;C6_Stay at home requirements;1
2020-03-19;response;C1_School closing;3
2020-03-19;response;C4_Restrictions on gatherings;1
2020-03-19;response;C6_Stay at home requirements;1
2020-03-20;response;C1_School closing;3
2020-03-20;response;C4_Restrictions on gatherings;1
2020-03-20;response;C6_Stay at home requirements;1
2020-03-21;response;C1_School closing;3
2020-03-21;response;C4_Restrictions on gatherings;4
2020-03-21;response;C6_Stay at home requirements;2
2020-03-22;response;C1_School closing;3
2020-03-22;response;C4_Restrictions on gatherings;4
2020-03-22;response;C6_Stay at home requirements;2
2020-03-23;response;C1_School closing;3
2020-03-23;response;C4_Restrictions on gatherings;4
2020-03-23;response;C6_Stay at home requirements;2
2020-03-24;response;C1_School closing;3
2020-03-24;response;C4_Restrictions on gatherings;4
2020-03-24;response;C6_Stay at home requirements;2
2020-03-25;response;C1_School closing;3
2020-03-25;response;C4_Restrictions on gatherings;4
2020-03-25;response;C6_Stay at home requirements;2
2020-03-26;response;C1_School closing;3
2020-03-26;response;C4_Restrictions on gatherings;4
2020-03-26;response;C6_Stay at home requirements;2
2020-03-27;response;C1_School closing;3
2020-03-27;response;C4_Restrictions on gatherings;4
2020-03-27;response;C6_Stay at home requirements;2
2020-03-28;response;C1_School closing;3
2020-03-28;response;C4_Restrictions on gatherings;4
2020-03-28;response;C6_Stay at home requirements;2
2020-03-29;response;C1_School closing;3
2020-03-29;response;C4_Restrictions on gatherings;4
2020-03-29;response;C6_Stay at home requirements;2
2020-03-30;response;C1_School closing;3
2020-03-30;response;C4_Restrictions on gatherings;4
2020-03-30;response;C6_Stay at home requirements;2
2020-03-31;response;C1_School closing;3
2020-03-31;response;C4_Restrictions on gatherings;4
2020-03-31;response;C6_Stay at home requirements;2
2020-04-01;response;C1_School closing;3
2020-04-01;response;C4_Restrictions on gatherings;4
2020-04-01;response;C6_Stay at home requirements;2
2020-04-02;response;C1_School closing;3
2020-04-02;response;C4_Restrictions on gatherings;4
2020-04-02;response;C6_Stay at home requirements;2
2020-04-03;response;C1_School closing;3
2020-04-03;response;C4_Restrictions on gatherings;4
2020-04-03;response;C6_Stay at home requirements;2
2020-04-04;response;C1_School closing;3
2020-04-04;response;C4_Restrictions on gatherings;4
2020-04-04;response;C6_Stay at home requirements;2
2020-04-05;response;C1_School closing;3
2020-04-05;response;C4_Restrictions on gatherings;4
2020-04-05;response;C6_Stay at home requirements;2
2020-04-06;response;C1_School closing;3
2020-04-06;response;C4_Restrictions on gatherings;4
2020-04-06;response;C6_Stay at home requirements;2
2020-04-07;response;C1_School closing;3
2020-04-07;response;C4_Restrictions on gatherings;4
2020-04-07;response;C6_Stay at home requirements;2
2020-04-08;response;C1_School closing;3
2020-04-08;response;C4_Restrictions on gatherings;4
2020-04-08;response;C6_Stay at home requirements;2
2020-04-09;response;C1_School closing;3
2020-04-09;response;C4_Restrictions on gatherings;4
2020-04-09;response;C6_Stay at home requirements;2
2020-04-10;response;C1_School closing;3
2020-04-10;response;C4_Restrictions on gatherings;4
2020-04-10;response;C6_Stay at home requirements;2
2020-04-11;response;C1_School closing;3
2020-04-11;response;C4_Restrictions on gatherings;4
2020-04-11;response;C6_Stay at home requirements;2
2020-04-12;response;C1_School closing;3
2020-04-12;response;C4_Restrictions on gatherings;4
2020-04-12;response;C6_Stay at home requirements;2
2020-04-13;response;C1_School closing;3
2020-04-13;response;C4_Restrictions on gatherings;4
2020-04-13;response;C6_Stay at home requirements;2
2020-04-14;response;C1_School closing;3
2020-04-14;response;C4_Restrictions on gatherings;4
2020-04-14;response;C6_Stay at home requirements;2
2020-04-15;response;C1_School closing;3
2020-04-15;response;C4_Restrictions on gatherings;4
2020-04-15;response;C6_Stay at home requirements;2
2020-04-16;response;C1_School closing;3
2020-04-16;response;C4_Restrictions on gatherings;4
2020-04-16;response;C6_Stay at home requirements;2
2020-04-17;response;C1_School closing;3
2020-04-17;response;C4_Restrictions on gatherings;4
2020-04-17;response;C6_Stay at home requirements;2
2020-04-18;response;C1_School closing;3
2020-04-18;response;C4_Restrictions on gatherings;4
2020-04-18;response;C6_Stay at home requirements;2
2020-04-19;response;C1_School closing;3
2020-04-19;response;C4_Restrictions on gatherings;4
2020-04-19;response;C6_Stay at home requirements;2
2020-04-20;response;C1_School closing;3
2020-04-20;response;C4_Restrictions on gatherings;4
2020-04-20;response;C6_Stay at home requirements;2
2020-04-21;response;C1_School closing;3
2020-04-21;response;C4_Restrictions on gatherings;4
2020-04-21;response;C6_Stay at home requirements;2
2020-04-22;response;C1_School closing;3
2020-04-22;response;C4_Restrictions on gatherings;4
2020-04-22;response;C6_Stay at home requirements;2
2020-04-23;response;C1_School closing;3
2020-04-23;response;C4_Restrictions on gatherings;4
2020-04-23;response;C6_Stay at home requirements;2
2020-04-24;response;C1_School closing;3
2020-04-24;response;C4_Restrictions on gatherings;4
2020-04-24;response;C6_Stay at home requirements;2
2020-04-25;response;C1_School closing;3
